College Name,Website,City,State,Data Analytics Only,Data Analytics degree/cert Offered,Data Science degree/cert Offered,Offers Certificate,Offers AS,Offer Data Science Course,COUNTY,LATITUDE,LONGITUDE
Moorpark College,https://catalog.vcccd.edu/moorpark/programs-courses/mathematics/data-science-coa/,Moorpark,California,0,0,1,1,0,1,Ventura,34.285556,-118.881111
Cypress College,https://programmap.cypresscollege.edu/academics/interest-clusters/11c2c501-4273-4582-8f62-97683327dd16/programs/54be6a43-cb4b-78e3-caab-1d2173bd0406,Cypress,California,1,1,0,1,0,0,Orange,33.818613,-118.038696
College of the Sequoias,https://catalog.cos.edu/course-descriptions/ssci/,Visalia,California,0,0,0,0,0,1,Tulare,36.311379,-119.306471
Foothill College,https://foothill.edu/business/data-analytics.html,Los Altos,California,1,1,0,1,0,1,Santa Clara,37.381432,-122.125754
Grossmont College,https://www.grossmont.edu/academics/programs/csis/datascience.php,El Cajon,California,0,0,1,1,0,0,San Diego,32.777726,-116.919055
San Diego Miramar College,,San Diego,California,0,0,0,0,0,0,San Diego,32.71852,-117.159316
Los Angeles Trade Technical College,,Los Angeles,California,0,0,0,0,0,0,Los Angeles,33.973093,-118.247896
San Bernadino Valley College,,San Bernadino,California,0,0,0,0,0,0,San Bernardino,34.0886,-117.313789
San Diego City College,,San Diego,California,0,0,0,0,0,0,San Diego,32.71852,-117.159316
Antelope Valley College,,Lancaster,California,0,0,0,0,0,0,Los Angeles,34.690888,-118.149129
Merced College,,Merced,California,0,0,0,0,0,0,Merced,37.300724,-120.461668
Allan Hancock College,,Santa Maria,California,0,0,0,0,0,0,Santa Barbara,34.954538,-120.43245
Chabot College,,Hayward,California,0,0,0,0,0,0,Alameda,37.6564,-122.0957
College of the Desert,,Palm Desert,California,0,0,0,0,0,0,Riverside,33.7611,-116.3249
Los Angeles Mission College,https://www.lamission.edu/academics/aos/data-science,Los Angeles,California,0,1,1,1,0,1,Los Angeles,33.973093,-118.247896
